Index,year,county,property,violent,total_index_crimes
1998-Suffolk,1998,Suffolk,38786,2730,41516
1998-Sullivan,1998,Sullivan,2251,277,2528
1998-Tioga,1998,Tioga,718,33,751
1998-Tompkins,1998,Tompkins,2722,101,2823
1998-Ulster,1998,Ulster,3664,543,4207
1998-Warren,1998,Warren,1933,143,2076
1998-Washington,1998,Washington,1128,247,1375
1998-Wayne,1998,Wayne,2066,130,2196
1998-Westchester,1998,Westchester,22983,2994,25977
1998-Wyoming,1998,Wyoming,1058,108,1166
1998-Yates,1998,Yates,407,22,429
1999-Albany,1999,Albany,13012,1133,14145
1999-Allegany,1999,Allegany,665,94,759
1999-Bronx,1999,Bronx,33108,16820,49928
1999-Broome,1999,Broome,5663,386,6049
1999-Cattaraugus,1999,Cattaraugus,1540,176,1716
1999-Cayuga,1999,Cayuga,1817,179,1996
1999-Chautauqua,1999,Chautauqua,3486,311,3797
1999-Chemung,1999,Chemung,2651,275,2926
1999-Chenango,1999,Chenango,1009,153,1162
1999-Clinton,1999,Clinton,1228,214,1442
1999-Columbia,1999,Columbia,1162,200,1362
1999-Cortland,1999,Cortland,1606,86,1692
1999-Delaware,1999,Delaware,730,102,832
1999-Dutchess,1999,Dutchess,6015,603,6618
1999-Erie,1999,Erie,31728,4162,35890
