Index,year,county,population,firearm_count
2008-Tompkins,2008,Tompkins,101591,20
2008-Ulster,2008,Ulster,182305,33
2008-Warren,2008,Warren,66478,4
2008-Washington,2008,Washington,62944,6
2008-Wayne,2008,Wayne,90960,8
2008-Westchester,2008,Westchester,954255,319
2008-Wyoming,2008,Wyoming,41742,9
2008-Yates,2008,Yates,24542,1
2007-Albany,2007,Albany,297154,208
2007-Allegany,2007,Allegany,50178,6
2007-Bronx,2007,Bronx,1364553,0
2007-Broome,2007,Broome,195161,33
2007-Cattaraugus,2007,Cattaraugus,79103,25
2007-Cayuga,2007,Cayuga,80918,16
2007-Chautauqua,2007,Chautauqua,134387,38
2007-Chemung,2007,Chemung,88057,28
2007-Chenango,2007,Chenango,51696,4
2007-Clinton,2007,Clinton,82260,4
2007-Columbia,2007,Columbia,62763,17
2007-Cortland,2007,Cortland,48336,14
2007-Delaware,2007,Delaware,45894,8
2007-Dutchess,2007,Dutchess,296416,167
2007-Erie,2007,Erie,914914,1231
2007-Essex,2007,Essex,37259,2
2007-Franklin,2007,Franklin,50805,13
2007-Fulton,2007,Fulton,55242,14
2007-Genesee,2007,Genesee,58342,6
2007-Greene,2007,Greene,49912,5
2007-Hamilton,2007,Hamilton,5117,0
2007-Herkimer,2007,Herkimer,63007,8
2007-Jefferson,2007,Jefferson,114354,17
2007-Kings,2007,Kings,2515380,0
2007-Lewis,2007,Lewis,26568,2
2007-Livingston,2007,Livingston,63964,7
2007-Madison,2007,Madison,70109,4
2007-Monroe,2007,Monroe,728081,962
